G of H-bonds H2O,HOMO,MeMe(trans),O1CC1_O_Dispersion,O1CC1_O_s proportion,Second EA,SMILES,MolLogP
-4.5633,-10.9195,False,12.6015,1.744,-4.8537,OC1OC1,-0.665
-3.7238,-10.6753,False,13.6696,1.7436,-3.5845,OCC1OC1,-0.6225
-0.6418,-10.5241,False,12.0643,1.745,-5.1842,O1CC1,0.0166
-1.4033,-10.9124,False,13.2824,1.7419,-3.1623,FCC1OC1,0.3547
-0.7288,-10.6038,False,13.2572,1.743,-4.3453,CC1OC1,0.4051
-1.731,-10.5237,False,14.1495,1.7399,2.5064,CC(C(OCC1OC1)=O)=C,0.5045
-0.9629,-10.8491,False,13.7664,1.7387,0.97,ClCC1OC1,0.624
-0.9186,-10.865,False,13.9016,1.7398,1.6783,BrCC1OC1,0.7801
-0.8479,-10.6547,True,14.7647,1.743,-3.7294,C[C@H]1O[C@@H]1C,0.7936
-0.8004,-10.6264,False,14.2477,1.743,-3.7429,C[C@H]1O[C@H]1C,0.7936
-1.633,-11.224,False,13.6066,1.732,-2.4492,FC(C1OC1)(F)F,0.9475
-0.6216,-10.6353,False,15.4057,1.742,-3.2492,C12OC1CCCC2,1.3278
-0.6462,-10.5674,False,15.3738,1.74,-3.2362,CC(C)(C)C1OC1,1.4313
-0.67,-9.72,False,15.0235,1.7378,2.1464,C1(CC2=CC=CC=C2)OC1,1.6279
-0.5915,-9.6663,False,14.7434,1.737,2.3656,C1(C2=CC=CC=C2)OC1,1.7579
-0.7127,-10.6336,False,14.45,1.7407,-2.7061,CCCCCC1OC1,1.9655
-0.6595,-9.8318,False,18.6022,1.741,4.4427,C1(C2(C3=CC=CC=C3)OC2)=CC=CC=C1,2.9604
-1.9666,-11.3699,False,16.1914,1.727,0.1159,FC(C(C(F)(F)F)(C(F)(F)F)C1OC1)(F)F,3.0585
-0.6219,-9.5011,False,17.1309,1.738,4.3235,[C@H]1(C2=CC=CC=C2)O[C@H]1C3=CC=CC=C3,3.4992
